category,rating,reviews_count,title,price,author,link
Arts & Photography,4.4,252,"Al Franken, Giant of the Senate",NA,Al Franken,https://www.amazon.com/Al-Franken-Giant-Senate/dp/B06ZZPN9Z7
Arts & Photography,4.4,253,"Al Franken, Giant of the Senate",$16.80,Al Franken,https://www.amazon.com/Al-Franken-Giant-Senate/dp/1455540412
Arts & Photography,4.4,252,"Al Franken, Giant of the Senate",$14.99,Al Franken,https://www.amazon.com/Al-Franken-Giant-Senate-ebook/dp/B01LL8BRRE
Arts & Photography,4.8,2553,Born a Crime: Stories from a South African Childhood,NA,Trevor Noah,https://www.amazon.com/Born-Crime-Stories-African-Childhood/dp/B01IW9TM5O
Arts & Photography,4.8,11313,The 5 Love Languages: The Secret to Love that Lasts,$9.59,Gary Chapman,https://www.amazon.com/Love-Languages-Secret-that-Lasts/dp/080241270X
Arts & Photography,4.1,980,Clapton: The Autobiography,$1.99,Eric Clapton,https://www.amazon.com/Clapton-Autobiography-Eric-ebook/dp/B000W916DY
Arts & Photography,4.7,1361,Q&A a Day: 5-Year Journal,$10.26,Potter Style,https://www.amazon.com/Day-5-Year-Journal-Potter-Style/dp/0307719774
Arts & Photography,4.5,12029,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,$9.89,Marie Kond?Ť,https://www.amazon.com/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/1607747308
Arts & Photography,4.8,2553,Born a Crime: Stories from a South African Childhood,$16.77,Trevor Noah,https://www.amazon.com/Born-Crime-Stories-African-Childhood/dp/0399588175
Arts & Photography,NA,NA,"Believe Me: A Memoir of Love, Death and Jazz Chickens",NA,Eddie Izzard,https://www.amazon.com/Believe-Me-Memoir-Death-Chickens/dp/B06XWZ69MQ
Arts & Photography,3.8,341,"My Booky Wook: A Memoir of Sex, Drugs, and Stand-Up",$1.99,Russell Brand,https://www.amazon.com/My-Booky-Wook-Memoir-Stand-Up-ebook/dp/B001NLKXYI
Arts & Photography,4.8,2553,Born a Crime: Stories from a South African Childhood,$14.99,Trevor Noah,https://www.amazon.com/Born-Crime-Stories-African-Childhood-ebook/dp/B01DHWACVY
Arts & Photography,4.8,294,Black Privilege: Opportunity Comes to Those Who Create It,NA,Charlamagne Tha God,https://www.amazon.com/Black-Privilege-Opportunity-Comes-Create/dp/B06WWKYJLT
Arts & Photography,4.8,294,Black Privilege: Opportunity Comes to Those Who Create It,$15.59,Charlamagne Tha God,https://www.amazon.com/Black-Privilege-Opportunity-Comes-Create/dp/1501145304
Arts & Photography,4.9,1574,Hamilton: The Revolution,$25.55,Lin-Manuel Miranda,https://www.amazon.com/Hamilton-Revolution-Lin-Manuel-Miranda/dp/1455539740
Arts & Photography,4.5,12029,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,NA,Marie Kondo,https://www.amazon.com/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/B00RC3ZGN4
Arts & Photography,4.7,3210,Go the F**k to Sleep,$13.46,Adam Mansbach,https://www.amazon.com/Go-F-Sleep-Adam-Mansbach/dp/1617750255
Arts & Photography,4.5,409,Adult Coloring Book: Stress Relieving Animal Designs,$5.93,Dan Morris,https://www.amazon.com/Adult-Coloring-Book-Relieving-Designs/dp/1945710799
Arts & Photography,4.4,1373,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",$4.99,Paperback,https://www.amazon.com/Adult-Coloring-Book-Designs-Mandalas/dp/0692597832
Arts & Photography,4.4,596,My Cross to Bear,$1.99,Gregg Allman,https://www.amazon.com/My-Cross-Bear-Gregg-Allman-ebook/dp/B005O078LK
Arts & Photography,4.5,983,ABC Keyboard Stickers,$2.99,Hal Leonard Corp.,https://www.amazon.com/ABC-Keyboard-Stickers-Leonard-Corp/dp/0793562023
Arts & Photography,4.4,596,My Cross to Bear,$10.45,Gregg Allman,https://www.amazon.com/My-Cross-Bear-Gregg-Allman/dp/0062112058
Arts & Photography,NA,NA,The Art of Overwatch Limited Edition,$60.00,BLIZZARD,https://www.amazon.com/Art-Overwatch-Limited-BLIZZARD-ENTERTAINMENT/dp/1506705537
Arts & Photography,4.9,101,Strong Is the New Pretty: A Celebration of Girls Being Themselves,$12.16,Kate T. Parker,https://www.amazon.com/Strong-New-Pretty-Celebration-Themselves/dp/0761189130
Arts & Photography,4.8,1180,Good Vibes Coloring Book (Coloring Is Fun),$6.40,Thaneeya McArdle,https://www.amazon.com/Good-Vibes-Coloring-Book-Fun/dp/1574219952
Arts & Photography,4.6,231,"Alfred's Basic Piano Library Lesson Book, Bk 1A: Book & CD",$7.92,Willard A. Palmer,https://www.amazon.com/Alfreds-Basic-Piano-Library-Lesson/dp/0739024833
Arts & Photography,4.6,564,Essential Elements for Strings: Book 1 with EEi (Violin),$5.43,Michael Allen,https://www.amazon.com/Essential-Elements-Strings-Book-Violin/dp/0634038176
