category,rating,reviews_count,title,price,author,link
Action & Adventure,4.2,312,"Sita - Warrior of Mithila (Book 2- Ram Chandra Series): An adventure thriller that follows Lady Sita???s journey, set in mythological times",INR 206,Amish,https://amazon.in/Sita-Warrior-adventure-thriller-mythological/dp/9386224585
Action & Adventure,4.2,312,Sita - Warrior of Mithila (Book 2 of the Ram Chandra Series),INR 134,Amish,https://amazon.in/Sita-Warrior-Mithila-Book-Chandra-ebook/dp/B0727XB6YC
Action & Adventure,4,3725,"Scion of Ikshvaku: An Epic adventure story book on the Ramayana, The Tale of Lord Ram (Ram Chandra Series)",INR 204,Amish Tripathi,https://amazon.in/Scion-Ikshvaku-adventure-Ramayana-Chandra/dp/9385152149
Action & Adventure,4.3,361,The Rise of Sivagami: Book 1 of? Baahubali - Before the Beginning,INR 149,Anand Neelakantan,https://amazon.in/Rise-Sivagami-Baahubali-Before-Beginning/dp/9386224445
Action & Adventure,4.5,1811,The Immortals of Meluha (Shiva Trilogy),INR 183,Amish,https://amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745
Action & Adventure,4.6,1281,The Secret Of The Nagas (Shiva Trilogy-2),INR 182,Amish Tripathi,https://amazon.in/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340
Action & Adventure,4.4,1206,The Oath of the Vayuputras (Shiva Trilogy),INR 268,Amish Tripathi,https://amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341
Action & Adventure,4.8,493,Harry Potter and the Philosopher's Stone,INR 218,J.K. Rowling,https://amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU
Action & Adventure,5,26,Harappa - Curse of the Blood River,INR 130,Vineet Bajpai,https://amazon.in/Harappa-Curse-Blood-Vineet-Bajpai/dp/9352685482
Action & Adventure,4.7,252,Harry Potter and the Chamber of Secrets,INR 189,J.K. Rowling,https://amazon.in/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B019PIOJY0
Action & Adventure,4.2,197,The Secret Of The Druids,INR 49,Christopher C. Doyle,https://amazon.in/Secret-Druids-Christopher-C-Doyle-ebook/dp/B01BMD4JF0
Action & Adventure,4.6,154,Harry Potter and the Order of the Phoenix,INR 477,J.K. Rowling,https://amazon.in/Harry-Potter-Order-Phoenix-Rowling-ebook/dp/B019PIOJV8
Action & Adventure,4.8,153,Harry Potter and the Goblet of Fire,INR 351,J.K. Rowling,https://amazon.in/Harry-Potter-Goblet-Fire-Rowling-ebook/dp/B019PIOJWW
Action & Adventure,4.5,199,Harry Potter and the Prisoner of Azkaban,INR 171,J.K. Rowling,https://amazon.in/Harry-Potter-Prisoner-Azkaban-Rowling-ebook/dp/B019PIOJZ4
Action & Adventure,4.8,110,Harry Potter and the Half-Blood Prince,INR 433,J.K. Rowling,https://amazon.in/Harry-Potter-Half-Blood-Prince-Rowling-ebook/dp/B019PIOJZE
Action & Adventure,4.8,150,Harry Potter and the Deathly Hallows,INR 332,J.K. Rowling,https://amazon.in/Harry-Potter-Deathly-Hallows-Rowling-ebook/dp/B019PIOJVI
Action & Adventure,3.9,1507,"Harry Potter and the Cursed Child - Parts I & II (Special Rehearsal Edition Script - Written in script format, not a novel)",INR 489,J.K. Rowling,https://amazon.in/Harry-Potter-Cursed-Child-Rehearsal/dp/0751565350
Action & Adventure,4.5,479,Meluha Ke Mritunjay (Immortals of Meluha),INR 142,Amish Tripathi,https://amazon.in/Meluha-Ke-Mritunjay-Immortals/dp/9380658826
Action & Adventure,4.2,286,Ikshvaku Ke Vanshaj,INR 230,Amish Tripathi,https://amazon.in/Ikshvaku-Ke-Vanshaj-Amish-Tripathi/dp/9385152157
Action & Adventure,4.5,313,Vayuputron Ki Shapath (The Oath of the Vayuputras) (Hindi),INR 199,Amish Tripathi,https://amazon.in/Vayuputron-Shapath-Oath-Vayuputras-Hindi/dp/9383260009
Action & Adventure,4.2,68,Make Me: (Jack Reacher 20),INR 166,Lee Child,https://amazon.in/Make-Me-Jack-Reacher-20-ebook/dp/B00QDGVGF8
Action & Adventure,3,5,Girl Jacked: Detective Jack Stratton Mystery Series (Detective Jack Stratton Mystery Thriller Series Book 1),INR 99,Christopher Greyson,https://amazon.in/Girl-Jacked-Detective-Stratton-Thriller-ebook/dp/B00E9TY9A0
Action & Adventure,5,1,Ancient Magic (Dragon's Gift: The Huntress Book 1),INR 64,Linsey Hall,https://amazon.in/Ancient-Magic-Dragons-Gift-Huntress-ebook/dp/B01DTVV18G
Action & Adventure,4.3,25,The Partner,INR 269,JOHN GRISHAM,https://amazon.in/Partner-JOHN-GRISHAM/dp/0099410311
Action & Adventure,NA,NA,Killers and Outlaws (Tales of the Old West Book 39),INR 67,Paul L. Thompson,https://amazon.in/Killers-Outlaws-Tales-West-Book-ebook/dp/B01MXON802
Action & Adventure,NA,NA,The Hunt for Shambhala (An Avalon Adventure Book 1),INR 128,Rob Jones,https://amazon.in/Hunt-Shambhala-Avalon-Adventure-Book-ebook/dp/B07216N7BG
Action & Adventure,3.5,2,Sherlock Holmes: The Secret Journals,INR 95,June Thomson,https://amazon.in/Sherlock-Holmes-Journals-June-Thomson-ebook/dp/B00KW2OZ1Q
Action & Adventure,3.8,12,Overload,INR 134,Arthur Hailey,https://amazon.in/Overload-Arthur-Hailey-ebook/dp/B00JVCHC5E
Action & Adventure,3.9,51,"A Feast for Crows (A Song of Ice and Fire, Book 4)",INR 176,George R. R. Martin,https://amazon.in/Feast-Crows-Song-Fire-Book-ebook/dp/B004P1JEXE
Action & Adventure,4.5,8,Crooked Kingdom: Book 2 (Six of Crows),INR 398,Leigh Bardugo,https://amazon.in/Crooked-Kingdom-Book-Six-Crows/dp/1780622317
Action & Adventure,4.5,10,The Jungle Omnibus,INR 201,Ruskin Bond,https://amazon.in/Jungle-Omnibus-Ruskin-Bond-ebook/dp/B01K7PBR9U
Action & Adventure,NA,NA,The Last Night - Gujarati: Youth Thriller Story (Gujarati Edition),INR 49,Poojan Jani,https://amazon.in/Last-Night-Gujarati-Youth-Thriller-ebook/dp/B071LHYPGL
Action & Adventure,NA,NA,Smoke and Magic: A New Adult Urban Fantasy Novel (Touched By Magic: Dragon Book 2),INR 99,Ashley Meira,https://amazon.in/dp/B06X9ZLZCL
Action & Adventure,NA,NA,King's Last Hope: The Complete Durlindrath Trilogy,INR 399,Robert Ryan,https://amazon.in/Kings-Last-Hope-Complete-Durlindrath-ebook/dp/B072FCDYTX
Action & Adventure,NA,NA,Diary of a Minecraft Agent (Box Set),INR 268,Alex Anderson,https://amazon.in/Diary-Minecraft-Agent-Box-Set-ebook/dp/B01KVNFQ7M
Action & Adventure,NA,NA,Feluda Collection: Feluda part 1,INR 234,Satyajit Roy,https://amazon.in/Feluda-Collection-part-1-ebook/dp/B06XBMKJS8
Action & Adventure,4.4,14,Scion of Ikshvaku,INR 188,Amish,https://amazon.in/Scion-Ikshvaku-Amish/dp/9385724290
